week_title,player_slug,ranking_points
2015-01-31,roger federer,9875
2015-01-31,stan wawrinka,5370
2015-01-31,tomas berdych,4660
2015-03-31,andy murray,5695
2015-03-31,david ferrer,4580
2015-03-31,grigor dimitrov,3465
2015-03-31,kei nishikori,5460
2015-03-31,marin cilic,4105
2015-03-31,milos raonic,5160
2015-03-31,novak djokovic,13205
2015-03-31,rafael nadal,5810
2015-03-31,roger federer,9205
2015-03-31,stan wawrinka,4595
2015-03-31,tomas berdych,4660
2015-05-31,andy murray,7130
2015-05-31,david ferrer,4670
2015-05-31,kei nishikori,5280
2015-05-31,marin cilic,3495
2015-05-31,milos raonic,5160
2015-05-31,novak djokovic,13845
2015-05-31,rafael nadal,5435
2015-05-31,roger federer,9235
2015-05-31,stan wawrinka,4405
2015-05-31,tomas berdych,5230
2015-07-31,andy murray,7840
2015-07-31,david ferrer,4490
2015-07-31,kei nishikori,5660
2015-07-31,marin cilic,3540
2015-07-31,milos raonic,4440
2015-07-31,novak djokovic,13845
2015-07-31,rafael nadal,3135
2015-07-31,roger federer,9665
2015-07-31,stan wawrinka,5835
2015-07-31,tomas berdych,5140
2015-09-30,andy murray,8840
2015-09-30,david ferrer,4325
2015-09-30,gilles simon,2665
2015-09-30,kei nishikori,6385
2015-09-30,marin cilic,3585
2015-09-30,milos raonic,3400
2015-09-30,novak djokovic,16145
2015-09-30,rafael nadal,3770
2015-09-30,roger federer,9665
2015-09-30,stan wawrinka,6005
2015-09-30,tomas berdych,5230
2015-11-30,andy murray,8945
2015-11-30,david ferrer,4305
2015-11-30,gilles simon,2530
2015-11-30,jo wilfried tsonga,2635
2015-11-30,kei nishikori,4710
2015-11-30,kevin anderson,2475
2015-11-30,milos raonic,2820
2015-11-30,novak djokovic,16785
2015-11-30,rafael nadal,5230
2015-11-30,richard gasquet,2850
2015-11-30,roger federer,9420
2015-11-30,stan wawrinka,6865
2015-11-30,tomas berdych,5000
2016-01-31,andy murray,8945
2016-01-31,david ferrer,4305
2016-01-31,jo wilfried tsonga,2725
2016-01-31,kei nishikori,4235
2016-01-31,novak djokovic,16790
2016-01-31,rafael nadal,5230
2016-01-31,richard gasquet,2850
2016-01-31,roger federer,8265
2016-01-31,stan wawrinka,6865
2016-01-31,tomas berdych,4620
2016-03-31,andy murray,8945
2016-03-31,david ferrer,4325
2016-03-31,jo wilfried tsonga,3130
2016-03-31,kei nishikori,4235
2016-03-31,novak djokovic,16790
2016-03-31,rafael nadal,4990
2016-03-31,richard gasquet,2795
2016-03-31,roger federer,8795
2016-03-31,stan wawrinka,6405
2016-03-31,tomas berdych,4200
2016-05-31,andy murray,8435
2016-05-31,david ferrer,3370
2016-05-31,jo wilfried tsonga,3400
2016-05-31,kei nishikori,4490
2016-05-31,marin cilic,2775
2016-05-31,milos raonic,2785
2016-05-31,novak djokovic,16550
2016-05-31,rafael nadal,5915
2016-05-31,richard gasquet,2840
2016-05-31,roger federer,7785
2016-05-31,stan wawrinka,6460
2016-05-31,tomas berdych,3630
2016-07-31,andy murray,10195
2016-07-31,dominic thiem,3175
2016-07-31,jo wilfried tsonga,2995
2016-07-31,kei nishikori,4290
2016-07-31,milos raonic,4285
2016-07-31,novak djokovic,16950
2016-07-31,rafael nadal,5405
2016-07-31,richard gasquet,2905
2016-07-31,roger federer,6745
2016-07-31,stan wawrinka,5035
2016-07-31,tomas berdych,3490
2016-09-30,andy murray,10065
2016-09-30,dominic thiem,3295
2016-09-30,gael monfils,3545
2016-09-30,jo wilfried tsonga,2995
2016-09-30,kei nishikori,4875
2016-09-30,marin cilic,3515
2016-09-30,milos raonic,4805
2016-09-30,novak djokovic,16040
2016-09-30,rafael nadal,4940
2016-09-30,roger federer,5945
2016-09-30,stan wawrinka,6365
2016-09-30,tomas berdych,3660
2016-11-30,andy murray,12685
2016-11-30,dominic thiem,3415
2016-11-30,gael monfils,3815
2016-11-30,kei nishikori,4905
2016-11-30,marin cilic,3650
2016-11-30,milos raonic,5450
2016-11-30,novak djokovic,14040
2016-11-30,rafael nadal,4940
2016-11-30,roger federer,3730
2016-11-30,stan wawrinka,6365
2016-11-30,tomas berdych,3470
2017-01-31,andy murray,12560
2017-01-31,dominic thiem,3505
2017-01-31,gael monfils,3625
2017-01-31,kei nishikori,5010
2017-01-31,marin cilic,3650
2017-01-31,milos raonic,5450
2017-01-31,novak djokovic,11780
2017-01-31,rafael nadal,4385
2017-01-31,roger federer,3260
2017-01-31,stan wawrinka,5695
2017-01-31,tomas berdych,3060
2017-03-31,andy murray,12040
2017-03-31,david goffin,3245
2017-03-31,dominic thiem,3505
2017-03-31,gael monfils,3445
2017-03-31,jo wilfried tsonga,3480
2017-03-31,kei nishikori,4830
2017-03-31,marin cilic,3590
2017-03-31,milos raonic,5080
2017-03-31,novak djokovic,9825
2017-03-31,rafael nadal,4415
2017-03-31,roger federer,4305
2017-03-31,stan wawrinka,5705
2017-05-31,alexander zverev,3150
2017-05-31,andy murray,11960
2017-05-31,david goffin,3055
2017-05-31,dominic thiem,4145
2017-05-31,jo wilfried tsonga,3265
2017-05-31,kei nishikori,4310
2017-05-31,marin cilic,3765
2017-05-31,milos raonic,4450
2017-05-31,novak djokovic,8085
2017-05-31,rafael nadal,5375
2017-05-31,roger federer,5305
2017-05-31,stan wawrinka,5785
2017-07-31,alexander zverev,3150
2017-07-31,andy murray,9890
2017-07-31,dominic thiem,4065
2017-07-31,grigor dimitrov,3160
2017-07-31,jo wilfried tsonga,3075
2017-07-31,kei nishikori,3830
2017-07-31,marin cilic,5155
2017-07-31,milos raonic,4450
2017-07-31,novak djokovic,6325
2017-07-31,rafael nadal,7465
2017-07-31,roger federer,6545
2017-07-31,stan wawrinka,6175
2017-09-30,alexander zverev,4470
2017-09-30,andy murray,7750
2017-09-30,dominic thiem,4065
2017-09-30,grigor dimitrov,3710
2017-09-30,kei nishikori,3320
2017-09-30,marin cilic,5155
2017-09-30,milos raonic,3230
2017-09-30,novak djokovic,5325
2017-09-30,pablo carreno-busta,2855
2017-09-30,rafael nadal,9465
2017-09-30,roger federer,7505
2017-09-30,stan wawrinka,5780
2017-11-30,alexander zverev,4610
2017-11-30,andy murray,6790
2017-11-30,david goffin,3775
2017-11-30,dominic thiem,4015
2017-11-30,grigor dimitrov,5150
2017-11-30,jack sock,3165
2017-11-30,marin cilic,4505
2017-11-30,novak djokovic,4125
2017-11-30,pablo carreno-busta,2855
2017-11-30,rafael nadal,10645
2017-11-30,roger federer,9605
2017-11-30,stan wawrinka,3540
